Date,Now,Open,High,Low,Volume
20060102,1012.82,1008.48,1012.82,1005.98,0.0053
20060103,1004.5,1007.1,1008.6,1002.2,-0.0082
20060104,998.35,1000.25,1002.05,997.75,-0.0061
20060105,994.75,996.85,997.55,985.45,-0.0036
20060106,989.3,993.1,997,987.7,-0.0055
20060109,977.45,981.05,983.45,974.65,-0.012
20060110,982.05,981.75,984.85,979.65,0.0047
20060111,984.7,981.3,986.2,980.3,0.0027
20060112,974.1,978.3,978.8,973.9,-0.0108
20060113,987.65,976.35,988.85,975.85,0.0139
20060116,982.45,983.05,984.15,980.05,-0.0053
20060117,989.05,985.15,990.25,985.15,0.0067
20060118,992.15,990.75,994.55,988.25,0.0031
20060119,981,989.1,991.5,983,-0.0112
20060120,986.7,985.1,988.1,984.9,0.0058
20060123,981.5,980.6,983,979.3,-0.0053
20060124,975.6,978.1,980.1,975.2,-0.006
20060125,968.7,977.7,982.3,967.4,-0.0071
20060126,969,971.1,972.6,965.2,0.0003
20060127,970.8,970.3,973.1,968.4,0.0019
20060130,970.8,970.8,970.8,970.8,0
20060131,959.87,972.97,975.97,959.87,-0.0113
20060201,962.1,965.1,965.1,955.1,0.0023
20060202,972.4,964.7,974.3,963,0.0107
20060203,970.15,973.15,973.65,967.95,-0.0023
20060206,963.1,971,971.6,961.7,-0.0073
20060207,968.25,964.25,970.95,962.55,0.0053
20060208,971.75,958.65,974.55,958.65,0.0036
20060209,972.75,972.85,979.25,968.85,0.001
20060210,967.8,973.4,973.4,967.5,-0.0051
20060213,976,967,980,965.8,0.0085
20060214,969,976,981.3,968.9,-0.0072
20060215,973,970.4,976.2,970.4,0.0041
20060216,974.55,974.85,978.55,973.85,0.0016
20060217,972.8,972.3,976.4,971.5,-0.0018
20060220,967.75,971.25,971.85,964.15,-0.0052
20060221,968.55,969.4,970.6,966.7,0.0008
20060222,974.6,969,976.1,967.5,0.0062
20060223,965.5,973.4,975.7,965.5,-0.0093
20060224,966.4,965.5,968.15,962.1,0.0009
20060227,968.85,970.85,972.45,966.25,0.0025
20060228,971,968.7,972.2,968.15,0.0022
20060301,968.55,968.55,968.55,968.55,-0.0025
20060302,969.2,972,972,968.3,0.0007
20060303,971.35,969.05,971.65,965.15,0.0022
20060306,974.95,970.75,975.05,970.15,0.0037
20060307,976.7,974.4,978.1,975,0.0018
20060308,982.05,980.25,982.85,977.95,0.0055
20060309,982.2,983.4,983.4,978.3,0.0002
20060310,980.1,981.2,984.6,978.6,-0.0021
20060313,980.8,983.4,984.8,979.3,0.0007
20060314,977.05,979.15,980.25,975.85,-0.0038
20060315,974.9,973.1,976.2,972.3,-0.0022
20060316,975.05,974.35,975.55,972.85,0.0002
20060317,971.2,971.3,973.9,970.4,-0.0039
20060320,967,970,971.4,967,-0.0043
20060321,968.4,966.2,968.9,965.2,0.0014
20060322,973.6,968.3,973.9,968.3,0.0054
20060323,975.5,971.4,975.9,970.3,0.002
20060324,979.5,976.2,982.8,976.2,0.0041
20060327,975.65,978.05,978.75,974.05,-0.0039
20060328,976.8,977.2,977.8,973.6,0.0012
20060329,975.2,978.3,980.2,975.1,-0.0016
20060330,976.05,976.55,977.75,974.55,0.0009
20060331,971.6,974.7,977.6,971.3,-0.0046
20060403,970.75,971.85,972.45,966.15,-0.0009
20060404,963.15,967.25,969.75,961.65,-0.0078
20060405,957.4,960.2,963.7,955.3,-0.006
20060406,953.5,961.2,961.5,951.5,-0.0041
20060407,953.3,955.4,955.4,948.1,-0.0002
20060410,953.65,954.85,956.35,950.45,0.0004
20060411,954.8,951,955.9,950.8,0.0012
20060412,960.35,953.35,960.95,951.25,0.0058
20060413,961.6,960.6,963.5,957.3,0.0013
20060414,958.5,961,963.3,957.3,-0.0032
20060417,955.75,958.35,958.35,953.25,-0.0029
20060418,953.8,952.6,954.5,951.7,-0.002
20060419,945.5,950.5,950.9,942.9,-0.0087
20060420,948.55,944.95,949.55,944.05,0.0032
20060421,948.5,947.2,949.5,946.1,-0.0001
20060424,939.7,943.2,943.2,936,-0.0093
20060425,945.1,937,947.3,936.4,0.0057
20060426,946.5,945.8,948.4,944.4,0.0015
20060427,944.9,943.7,946.7,943,-0.0017
20060428,943.2,944,947.1,940.5,-0.0018
20060501,943.2,943.3,943.3,943.2,0
20060502,940.15,938.35,943.65,938.15,-0.0032
